,variable,description
0,Times,none
1,Q2,QV at 2 M
2,T2,TEMP at 2 M
3,TH2,POT TEMP at 2 M
4,PSFC,SFC PRESSURE
5,U10,U at 10 M
6,V10,V at 10 M
7,XTIME,minutes since 1979-10-01 00:00:00
8,TSLB,SOIL TEMPERATURE
9,SMOIS,SOIL MOISTURE
10,SH2O,SOIL LIQUID WATER
11,SEAICE,SEA ICE FLAG
12,ACSNOM,ACCUMULATED MELTED SNOW
13,SNOW,SNOW WATER EQUIVALENT
14,SNOWH,PHYSICAL SNOW DEPTH
15,CANWAT,CANOPY WATER
16,SSTSK,SKIN SEA SURFACE TEMPERATURE
17,COSZEN,COS of SOLAR ZENITH ANGLE
18,LAI,LEAF AREA INDEX
19,TSK,SURFACE SKIN TEMPERATURE
20,RAINNCV,TIME-STEP NONCONVECTIVE PRECIPITATION
21,SWDOWN,DOWNWARD SHORT WAVE FLUX AT GROUND SURFACE
22,GLW,DOWNWARD LONG WAVE FLUX AT GROUND SURFACE
23,SWNORM,NORMAL SHORT WAVE FLUX AT GROUND SURFACE (SLOPE-DEPENDENT)
24,ACSWUPT,ACCUMULATED UPWELLING SHORTWAVE FLUX AT TOP
25,ACSWUPTC,ACCUMULATED UPWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
26,ACSWDNT,ACCUMULATED DOWNWELLING SHORTWAVE FLUX AT TOP
27,ACSWDNTC,ACCUMULATED DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
28,ACSWUPB,ACCUMULATED UPWELLING SHORTWAVE FLUX AT BOTTOM
29,ACSWUPBC,ACCUMULATED UPWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
30,ACSWDNB,ACCUMULATED DOWNWELLING SHORTWAVE FLUX AT BOTTOM
31,ACSWDNBC,ACCUMULATED DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
32,ACLWUPT,ACCUMULATED UPWELLING LONGWAVE FLUX AT TOP
33,ACLWUPTC,ACCUMULATED UPWELLING CLEAR SKY LONGWAVE FLUX AT TOP
34,ACLWDNT,ACCUMULATED DOWNWELLING LONGWAVE FLUX AT TOP
35,ACLWDNTC,ACCUMULATED DOWNWELLING CLEAR SKY LONGWAVE FLUX AT TOP
36,ACLWUPB,ACCUMULATED UPWELLING LONGWAVE FLUX AT BOTTOM
37,ACLWUPBC,ACCUMULATED UPWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM
38,ACLWDNB,ACCUMULATED DOWNWELLING LONGWAVE FLUX AT BOTTOM
39,ACLWDNBC,ACCUMULATED DOWNWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM
40,I_ACSWUPT,BUCKET FOR UPWELLING SHORTWAVE FLUX AT TOP
41,I_ACSWUPTC,BUCKET FOR UPWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
