,variable,description
1,Q2,QV at 2 M
2,T2,TEMP at 2 M
4,PSFC,SFC PRESSURE
5,U10,U at 10 M
6,V10,V at 10 M
9,SMOIS,SOIL MOISTURE
12,ACSNOM,ACCUMULATED MELTED SNOW
13,SNOW,SNOW WATER EQUIVALENT
15,CANWAT,CANOPY WATER
21,SWDOWN,DOWNWARD SHORT WAVE FLUX AT GROUND SURFACE
28,ACSWUPB,ACCUMULATED UPWELLING SHORTWAVE FLUX AT BOTTOM
30,ACSWDNB,ACCUMULATED DOWNWELLING SHORTWAVE FLUX AT BOTTOM
36,ACLWUPB,ACCUMULATED UPWELLING LONGWAVE FLUX AT BOTTOM
38,ACLWDNB,ACCUMULATED DOWNWELLING LONGWAVE FLUX AT BOTTOM
59,SWDNTC,INSTANTANEOUS DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
63,SWDNBC,INSTANTANEOUS DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
68,LWUPB,INSTANTANEOUS UPWELLING LONGWAVE FLUX AT BOTTOM
70,LWDNB,INSTANTANEOUS DOWNWELLING LONGWAVE FLUX AT BOTTOM
84,RECH,sum water table recharge
98,SMCWTD,deep soil moisture
99,ZWT,water table depth
102,ACRUNSF,acccumlated RUNSB
103,ACECAN,acccumlated ECAN
104,ACETRAN,acccumlated ETRAN
105,ACEDIR,acccumlated EDIR
106,ACQLAT,accumulated lateral flow
107,ACQRF,accumulated baseflow
116,ACSNSUB,acccumlated QSNSUB
150,PBLH,PBL HEIGHT
155,SR,fraction of frozen precipitation
159,MLCAPE,MIXED-LAYER CAPE
175,PREC_ACC_NC,ACCUMULATED GRID SCALE  PRECIPITATION OVER prec_acc_dt PERIODS OF TIME
176,SNOW_ACC_NC,ACCUMULATED SNOW WATER EQUIVALENT OVER prec_acc_dt PERIODS OF TIME
180,TK,Air temperature at the lowest model level
182,Z,Geopotential Height at the lowest model level (PH+PHB)/9.81
183,PWAT,Precipitable Water
188,QVAPOR,QVAPOR at the lowest model level
