,variable,description
0,Times,none
1,LU_INDEX,LAND USE CATEGORY
2,ZNU,eta values on half (mass) levels
3,ZNW,eta values on full (w) levels
4,ZS,DEPTHS OF CENTERS OF SOIL LAYERS
5,DZS,THICKNESSES OF SOIL LAYERS
6,VAR_SSO,variance of subgrid-scale orography
7,U,x-wind component
8,V,y-wind component
9,W,z-wind component
10,PH,perturbation geopotential
11,PHB,base-state geopotential
12,T,perturbation potential temperature (theta-t0)
13,HFX_FORCE,SCM ideal surface sensible heat flux
14,LH_FORCE,SCM ideal surface latent heat flux
15,TSK_FORCE,SCM ideal surface skin temperature
16,HFX_FORCE_TEND,SCM ideal surface sensible heat flux tendency
17,LH_FORCE_TEND,SCM ideal surface latent heat flux tendency
18,TSK_FORCE_TEND,SCM ideal surface skin temperature tendency
19,MU,perturbation dry air mass in column
20,MUB,base state dry air mass in column
21,NEST_POS,-
22,P,perturbation pressure
23,PB,BASE STATE PRESSURE
24,FNM,upper weight for vertical stretching
25,FNP,lower weight for vertical stretching
26,RDNW,inverse d(eta) values between full (w) levels
27,RDN,inverse d(eta) values between half (mass) levels
28,DNW,d(eta) values between full (w) levels
29,DN,d(eta) values between half (mass) levels
30,CFN,extrapolation constant
31,CFN1,extrapolation constant
32,THIS_IS_AN_IDEAL_RUN,T/F flag: this is an ARW ideal simulation
33,P_HYD,hydrostatic pressure
34,Q2,QV at 2 M
35,T2,TEMP at 2 M
36,TH2,POT TEMP at 2 M
37,PSFC,SFC PRESSURE
38,U10,U at 10 M
39,V10,V at 10 M
40,RDX,INVERSE X GRID LENGTH
41,RDY,INVERSE Y GRID LENGTH
42,RESM,TIME WEIGHT CONSTANT FOR SMALL STEPS
43,ZETATOP,ZETA AT MODEL TOP
44,CF1,2nd order extrapolation constant
45,CF2,2nd order extrapolation constant
46,CF3,2nd order extrapolation constant
47,ITIMESTEP,
48,QVAPOR,Water vapor mixing ratio
49,QCLOUD,Cloud water mixing ratio
50,QRAIN,Rain water mixing ratio
51,QICE,Ice mixing ratio
52,QSNOW,Snow mixing ratio
53,QGRAUP,Graupel mixing ratio
54,QNICE,Ice Number concentration
55,QNRAIN,Rain Number concentration
56,SHDMAX,ANNUAL MAX VEG FRACTION
57,SHDMIN,ANNUAL MIN VEG FRACTION
58,SNOALB,ANNUAL MAX SNOW ALBEDO IN FRACTION
59,TSLB,SOIL TEMPERATURE
60,SMOIS,SOIL MOISTURE
61,SH2O,SOIL LIQUID WATER
62,SEAICE,SEA ICE FLAG
63,XICEM,SEA ICE FLAG (PREVIOUS STEP)
64,SFROFF,SURFACE RUNOFF
65,UDROFF,UNDERGROUND RUNOFF
66,IVGTYP,DOMINANT VEGETATION CATEGORY
67,ISLTYP,DOMINANT SOIL CATEGORY
68,VEGFRA,VEGETATION FRACTION
69,GRDFLX,GROUND HEAT FLUX
70,ACGRDFLX,ACCUMULATED GROUND HEAT FLUX
71,ACSNOM,ACCUMULATED MELTED SNOW
72,SNOW,SNOW WATER EQUIVALENT
73,SNOWH,PHYSICAL SNOW DEPTH
74,CANWAT,CANOPY WATER
75,SSTSK,SKIN SEA SURFACE TEMPERATURE
76,COSZEN,COS of SOLAR ZENITH ANGLE
77,LAI,LEAF AREA INDEX
78,VAR,OROGRAPHIC VARIANCE
79,O3RAD,RADIATION 3D OZONE
80,MAPFAC_M,Map scale factor on mass grid
81,MAPFAC_U,Map scale factor on u-grid
82,MAPFAC_V,Map scale factor on v-grid
83,MAPFAC_MX,"Map scale factor on mass grid, x direction"
84,MAPFAC_MY,"Map scale factor on mass grid, y direction"
85,MAPFAC_UX,"Map scale factor on u-grid, x direction"
86,MAPFAC_UY,"Map scale factor on u-grid, y direction"
87,MAPFAC_VX,"Map scale factor on v-grid, x direction"
88,MF_VX_INV,"Inverse map scale factor on v-grid, x direction"
89,MAPFAC_VY,"Map scale factor on v-grid, y direction"
90,F,Coriolis sine latitude term
91,E,Coriolis cosine latitude term
92,SINALPHA,Local sine of map rotation
93,COSALPHA,Local cosine of map rotation
94,HGT,Terrain Height
95,TSK,SURFACE SKIN TEMPERATURE
96,P_TOP,PRESSURE TOP OF THE MODEL
97,T00,BASE STATE TEMPERATURE
98,P00,BASE STATE PRESURE
99,TLP,BASE STATE LAPSE RATE
100,TISO,TEMP AT WHICH THE BASE T TURNS CONST
101,TLP_STRAT,BASE STATE LAPSE RATE (DT/D(LN(P)) IN STRATOSPHERE
102,P_STRAT,BASE STATE PRESSURE AT BOTTOM OF STRATOSPHERE
103,MAX_MSTFX,Max map factor in domain
104,MAX_MSTFY,Max map factor in domain
105,RAINC,ACCUMULATED TOTAL CUMULUS PRECIPITATION
106,RAINSH,ACCUMULATED SHALLOW CUMULUS PRECIPITATION
107,RAINNC,ACCUMULATED TOTAL GRID SCALE PRECIPITATION
108,I_RAINC,BUCKET FOR RAINC
109,I_RAINNC,BUCKET FOR RAINNC
110,RAINNCV,TIME-STEP NONCONVECTIVE PRECIPITATION
111,SNOWNC,ACCUMULATED TOTAL GRID SCALE SNOW AND ICE
112,GRAUPELNC,ACCUMULATED TOTAL GRID SCALE GRAUPEL
113,HAILNC,ACCUMULATED TOTAL GRID SCALE HAIL
114,REFL_10CM,Radar reflectivity (lamda = 10 cm)
115,CLDFRA,CLOUD FRACTION
116,SWDOWN,DOWNWARD SHORT WAVE FLUX AT GROUND SURFACE
117,GLW,DOWNWARD LONG WAVE FLUX AT GROUND SURFACE
118,SWNORM,NORMAL SHORT WAVE FLUX AT GROUND SURFACE (SLOPE-DEPENDENT)
119,ACSWUPT,ACCUMULATED UPWELLING SHORTWAVE FLUX AT TOP
120,ACSWUPTC,ACCUMULATED UPWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
121,ACSWDNT,ACCUMULATED DOWNWELLING SHORTWAVE FLUX AT TOP
122,ACSWDNTC,ACCUMULATED DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
123,ACSWUPB,ACCUMULATED UPWELLING SHORTWAVE FLUX AT BOTTOM
124,ACSWUPBC,ACCUMULATED UPWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
125,ACSWDNB,ACCUMULATED DOWNWELLING SHORTWAVE FLUX AT BOTTOM
126,ACSWDNBC,ACCUMULATED DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
127,ACLWUPT,ACCUMULATED UPWELLING LONGWAVE FLUX AT TOP
128,ACLWUPTC,ACCUMULATED UPWELLING CLEAR SKY LONGWAVE FLUX AT TOP
129,ACLWDNT,ACCUMULATED DOWNWELLING LONGWAVE FLUX AT TOP
